TEAM,HHI_PCS,HHI_PS,HHI_TS
Atlanta Hawks,0.19582195244966133,0.15887810987623324,0.11805444257709061
Boston Celtics,0.22447898896516935,0.18732221013076858,0.13616002101298563
Brooklyn Nets,0.23452725139327774,0.18760343142669988,0.13664100751667754
Chicago Bulls,0.21865557935791619,0.1816752647637762,0.12554684220679008
Dallas Mavericks,0.23159696201951205,0.19301350066724776,0.1298621780739747
Denver Nuggets,0.2099390614192878,0.1629032618254127,0.11182143963347717
Golden State Warriors,0.20245998951547098,0.1711651834283723,0.12232058118312787
Memphis Grizzlies,0.21176662394657028,0.16918815270139187,0.11704066073637275
Miami Heat,0.22357203451723395,0.1767553428897229,0.12000925110358739
Milwaukee Bucks,0.233357570577878,0.19967635647819112,0.12416689180817435
Minnesota Timberwolves,0.2009891042554879,0.16258419064512988,0.12252094907407406
New Orleans Pelicans,0.2169601796703009,0.16404760791406892,0.12287104278649365
Philadelphia 76ers,0.21368262889888812,0.17011403869840766,0.1323668606934718
Phoenix Suns,0.19654656608638438,0.15527973793060956,0.12176376123354017
Toronto Raptors,0.21545645873512567,0.17759777311347427,0.13295547685779197
Utah Jazz,0.2194003750084347,0.18349181099103165,0.1250068222736625
