,TEAM,HHI_PCS,HHI_PS,HHI_TS,HHI_TS_NORM,HHI_PS_NORM,HHI_PCS_NORM,W_PCT,GAMES_WON,GAMES_LOST
0,Atlanta Hawks,0.19260818067441812,0.15966055259081224,0.11514811094605723,0.001277833711305397,0.1260017124469804,0.14167785577075315,0.524,43.0,39.0
1,Boston Celtics,0.20254828133194472,0.16805771608763526,0.11920991481830549,0.33109731267186143,0.4183681273546416,0.40980321892683735,0.622,51.0,31.0
2,Brooklyn Nets,0.21503065815995503,0.17124707268011644,0.11673831993429894,0.13040319683475055,0.5294128572992979,0.7465042177770999,0.537,44.0,38.0
3,Charlotte Hornets,0.1849720732764376,0.15768895388664186,0.12069918613205342,0.45202651166328506,0.05735600309608222,-0.06429934101266967,0.524,43.0,39.0
4,Chicago Bulls,0.20986872290028288,0.17563950480043064,0.12204560536348684,0.5613560862416952,0.6823454079430225,0.6072656110694507,0.561,46.0,36.0
5,Cleveland Cavaliers,0.17976883484404693,0.15471723590714065,0.119406533138415,0.34706276889087917,-0.04611114174540176,-0.20465206402217626,0.537,44.0,38.0
6,Dallas Mavericks,0.19851223295193476,0.1628847880759769,0.11524570501461769,0.009202496214626477,0.23826083065663514,0.3009344081481172,0.634,52.0,30.0
7,Denver Nuggets,0.18439020640069384,0.15106030185539315,0.1108357842221144,-0.34888416276422823,-0.17343564824901708,-0.07999468180875727,0.585,48.0,34.0
8,Detroit Pistons,0.1788712476080497,0.14808979281121679,0.11214722784322868,-0.24239461639362997,-0.2768607012475931,-0.22886368037374624,0.28,23.0,59.0
9,Golden State Warriors,0.19915972645471408,0.15881695252127684,0.10871124890818884,-0.5213969556786671,0.09662985038436436,0.31839996876519744,0.646,53.0,29.0
10,Houston Rockets,0.16417955277959376,0.13932537745665766,0.11055300410853541,-0.37184597792183827,-0.582013827888938,-0.6251590647947641,0.244,20.0,62.0
11,Indiana Pacers,0.17315815547461927,0.14659694913506402,0.11745747183738821,0.18879850922069985,-0.32883746146900444,-0.3829692529224823,0.305,25.0,57.0
12,Los Angeles Clippers,0.17404605341788817,0.14596893239292913,0.11221622874839415,-0.2367917258294223,-0.3507032978873896,-0.35901899661353315,0.512,42.0,40.0
13,Los Angeles Lakers,0.21073091461465926,0.17077409336778718,0.11529023566005461,0.012818395637080635,0.5129450028954251,0.6305224647465095,0.402,33.0,49.0
14,Memphis Grizzlies,0.18194340801820222,0.15059458193719583,0.10480199917866752,-0.8388290005212818,-0.18965075027554745,-0.1459948891988634,0.683,56.0,26.0
15,Miami Heat,0.18533674273593942,0.158042404084724,0.1185945662061649,0.28113085318277414,0.06966217854458627,-0.05446270709620935,0.646,53.0,29.0
16,Milwaukee Bucks,0.1938366714338969,0.16659809528518307,0.11384491351663331,-0.10454211985465098,0.3675480973172316,0.17481529998463347,0.622,51.0,31.0
17,Minnesota Timberwolves,0.19070844977220924,0.15440789348988634,0.1112528983216466,-0.31501439472477266,-0.05688160412186121,0.09043430647450917,0.561,46.0,36.0
18,New Orleans Pelicans,0.18312370732538477,0.15150248133340388,0.11280267340826516,-0.18917227441292733,-0.15804016038211427,-0.11415736649414425,0.439,36.0,46.0
19,New York Knicks,0.1971422019742264,0.16366984031018733,0.11824789928424373,0.2529814133877862,0.265594216188332,0.2639790425950542,0.451,37.0,45.0
20,Oklahoma City Thunder,0.18725398082712597,0.15014562948486818,0.1134712036606645,-0.13488745258235674,-0.20528205470360797,-0.002746916968186201,0.293,24.0,58.0
21,Orlando Magic,0.16162408175915213,0.14073139206181604,0.11220236308263529,-0.23791762131819172,-0.5330602199743736,-0.6940906198159841,0.268,22.0,60.0
22,Philadelphia 76ers,0.20420160221027495,0.17361969472118144,0.12105891265042451,0.48123639391980455,0.6120211095191717,0.4544000772675188,0.622,51.0,31.0
23,Phoenix Suns,0.18022121683331513,0.15106500848208063,0.11604312704033021,0.07395336191474655,-0.17327177629732224,-0.1924494627269909,0.78,64.0,18.0
24,Portland Trail Blazers,0.18778614938925045,0.15656117506064587,0.11590588474109755,0.06280925327534775,0.01808980894731201,0.011607856076474691,0.329,27.0,55.0
25,Sacramento Kings,0.18151868660575363,0.1506816565427042,0.1178321941845057,0.2192260564800804,-0.18661904912412683,-0.15745137106725526,0.366,30.0,52.0
26,San Antonio Spurs,0.16706679902763594,0.14069244954322407,0.11039279134243955,-0.38485529415140735,-0.5344160926512024,-0.5472781684689132,0.415,34.0,48.0
27,Toronto Raptors,0.19970685048558534,0.16571251286026303,0.12660758079129814,0.9317896192125399,0.33671452372097344,0.3331581522608241,0.585,48.0,34.0
28,Utah Jazz,0.17784053301293315,0.15331893665378032,0.11438882301508384,-0.06037653406496734,-0.09479612207568698,-0.2566662886820075,0.598,49.0,33.0
29,Washington Wizards,0.17351856200227278,0.14337635441241645,0.11081881666939511,-0.3502619322413191,-0.4409698182210491,-0.3732476077963084,0.427,35.0,47.0
