,TEAM,HHI_M_AVG,HHI_P_AVG,HHI_C_AVG,HHI_C_SD,HHI_P_SD,HHI_M_SD
0,Atlanta Hawks,0.19582195244966133,0.15887810987623324,0.11805444257709061,0.04414082785309227,0.036760858762191845,0.016992949753422148
1,Boston Celtics,0.22447898896516935,0.18732221013076858,0.13616002101298563,0.037327807740224025,0.030445491367193264,0.012205225349261046
2,Brooklyn Nets,0.23452725139327774,0.18760343142669988,0.13664100751667754,0.03645235448916061,0.027232165084535864,0.0037715465476242335
3,Chicago Bulls,0.21865557935791619,0.1816752647637762,0.12554684220679008,0.035956101794883635,0.03107990361450383,0.014501715098652399
4,Dallas Mavericks,0.23159696201951205,0.19301350066724776,0.1298621780739747,0.03772712966598942,0.0356096334298334,0.01613720255922689
5,Denver Nuggets,0.2099390614192878,0.1629032618254127,0.11182143963347717,0.03369275222735776,0.0283984382789508,0.011870642603962273
6,Golden State Warriors,0.20245998951547098,0.1711651834283723,0.12232058118312787,0.03497599156928386,0.028536740478139193,0.015851637820403133
7,Memphis Grizzlies,0.21176662394657028,0.16918815270139187,0.11704066073637275,0.059125752866163506,0.03708835721410373,0.01594834196905971
8,Miami Heat,0.22357203451723395,0.1767553428897229,0.12000925110358739,0.05416568187164203,0.038959086140794436,0.014810618932088572
9,Milwaukee Bucks,0.233357570577878,0.19967635647819112,0.12416689180817435,0.053429840883134336,0.040652459746549574,0.011671136606215611
10,Minnesota Timberwolves,0.2009891042554879,0.16258419064512988,0.12252094907407406,0.026383184666932836,0.02226672134157399,0.013444535727507157
11,New Orleans Pelicans,0.2169601796703009,0.16404760791406892,0.12287104278649365,0.03308268005577065,0.021435974361884085,0.005065245045366915
12,Philadelphia 76ers,0.21368262889888812,0.17011403869840766,0.1323668606934718,0.02863844420224453,0.020340828576481607,0.014225657703048896
13,Phoenix Suns,0.19654656608638438,0.15527973793060956,0.12176376123354017,0.035840097375305136,0.027071073757620797,0.010499625607923035
14,Toronto Raptors,0.21545645873512567,0.17759777311347427,0.13295547685779197,0.025109915819876087,0.025951753555031223,0.01059183659009356
15,Utah Jazz,0.2194003750084347,0.18349181099103165,0.1250068222736625,0.03208877982415333,0.028507204928742463,0.011658176925123371
